Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.2,2.188,2.193,2.198,2.208,2.231,2.256,2.316,2.4,2.439,2.522,2.591,2.612,2.677,2.731,2.804,2.874,2.97,3.081,3.228,3.35,3.515,3.694,3.798,3.993,4.161,4.375,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
AMBERTON ROAD,1.99,2.008,2.013,2.017,2.025,2.045,2.067,2.12,2.192,2.226,2.299,2.359,2.377,2.433,2.481,2.545,2.605,2.689,2.786,2.913,3.019,3.163,3.319,3.409,3.579,3.725,3.912,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
ANNFIELD 66/20KV,2.209,2.229,2.235,2.239,2.249,2.272,2.298,2.359,2.443,2.483,2.567,2.637,2.659,2.724,2.779,2.853,2.924,3.021,3.134,3.282,3.405,3.573,3.755,3.86,4.057,4.227,4.444,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
ASHINGTON,2.937,2.968,2.976,2.983,2.998,3.033,3.072,3.165,3.293,3.353,3.481,3.586,3.619,3.718,3.802,3.914,4.022,4.169,4.34,4.564,4.752,5.006,5.281,5.441,5.739,5.998,6.327,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
AYCLIFFE INDUSTRIAL,1.022,1.031,1.033,1.035,1.039,1.049,1.06,1.086,1.121,1.138,1.173,1.203,1.212,1.239,1.263,1.294,1.324,1.365,1.412,1.475,1.527,1.598,1.674,1.719,1.802,1.873,1.965,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BARDEN FRIAR,0.065,0.066,0.066,0.066,0.067,0.068,0.069,0.071,0.075,0.076,0.08,0.082,0.083,0.086,0.088,0.091,0.094,0.098,0.102,0.108,0.113,0.12,0.127,0.132,0.139,0.146,0.155,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BEDALE,1.634,1.648,1.652,1.655,1.662,1.678,1.695,1.736,1.793,1.82,1.877,1.923,1.938,1.982,2.02,2.07,2.117,2.183,2.259,2.359,2.442,2.555,2.678,2.749,2.882,2.997,3.143,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BELMONT,1.613,1.628,1.632,1.635,1.642,1.659,1.677,1.721,1.782,1.81,1.871,1.921,1.937,1.983,2.023,2.077,2.127,2.197,2.278,2.385,2.473,2.594,2.725,2.8,2.942,3.064,3.22,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BENSHAM,0.591,0.602,0.605,0.608,0.613,0.626,0.64,0.673,0.719,0.741,0.787,0.825,0.837,0.872,0.903,0.943,0.982,1.035,1.096,1.177,1.245,1.336,1.435,1.493,1.6,1.693,1.811,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BENTON SQUARE,1.829,1.844,1.848,1.852,1.859,1.876,1.896,1.941,2.003,2.033,2.095,2.147,2.163,2.211,2.253,2.308,2.36,2.432,2.516,2.625,2.717,2.841,2.976,3.054,3.201,3.327,3.488,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BENWELL,1.266,1.28,1.284,1.288,1.294,1.311,1.329,1.372,1.432,1.461,1.52,1.57,1.585,1.631,1.671,1.723,1.774,1.843,1.923,2.028,2.115,2.234,2.363,2.438,2.578,2.699,2.853,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BILLINGHAM MARSH HOUSE,2.584,2.601,2.606,2.61,2.618,2.638,2.66,2.712,2.784,2.818,2.89,2.95,2.969,3.024,3.072,3.135,3.196,3.279,3.375,3.502,3.607,3.751,3.906,3.996,4.165,4.31,4.496,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BILLY MILL,1.714,1.727,1.731,1.734,1.74,1.756,1.772,1.813,1.868,1.894,1.95,1.996,2.01,2.053,2.089,2.138,2.185,2.249,2.323,2.42,2.502,2.612,2.732,2.801,2.931,3.043,3.186,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BIRTLEY GROVE 66/11KV,1.212,1.222,1.225,1.227,1.232,1.244,1.257,1.288,1.33,1.35,1.393,1.428,1.439,1.472,1.5,1.538,1.574,1.623,1.68,1.755,1.817,1.902,1.994,2.047,2.147,2.233,2.343,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BIRTLEY GROVE 66/20KV,0.511,0.517,0.519,0.52,0.523,0.53,0.538,0.555,0.58,0.592,0.616,0.637,0.643,0.662,0.678,0.7,0.721,0.749,0.782,0.825,0.862,0.911,0.964,0.994,1.052,1.102,1.165,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BLAYDON BURN,0.927,0.94,0.943,0.946,0.952,0.967,0.983,1.022,1.075,1.1,1.153,1.197,1.211,1.252,1.287,1.334,1.378,1.439,1.51,1.604,1.682,1.787,1.902,1.968,2.092,2.2,2.336,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BLUCHER 33/11KV,1.382,1.396,1.399,1.403,1.409,1.425,1.442,1.483,1.54,1.566,1.623,1.67,1.685,1.728,1.766,1.815,1.863,1.928,2.004,2.103,2.186,2.299,2.421,2.492,2.624,2.739,2.884,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BOLDON DOWNHILL,1.949,1.961,1.964,1.966,1.972,1.985,1.999,2.033,2.08,2.102,2.149,2.187,2.199,2.236,2.266,2.308,2.347,2.401,2.463,2.546,2.614,2.707,2.808,2.867,2.976,3.071,3.191,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.581,0.586,0.587,0.588,0.59,0.596,0.602,0.616,0.636,0.645,0.665,0.681,0.686,0.702,0.715,0.732,0.749,0.771,0.798,0.832,0.861,0.9,0.943,0.968,1.014,1.054,1.104,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BOWESFIELD 33/11KV,0.796,0.807,0.81,0.813,0.818,0.831,0.845,0.878,0.924,0.946,0.992,1.03,1.042,1.078,1.108,1.148,1.187,1.24,1.302,1.383,1.45,1.542,1.641,1.699,1.807,1.9,2.018,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BOWESFIELD 66/11KV,0.921,0.929,0.931,0.933,0.937,0.946,0.957,0.981,1.014,1.03,1.064,1.091,1.1,1.126,1.148,1.177,1.205,1.244,1.289,1.347,1.396,1.463,1.535,1.577,1.655,1.723,1.809,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BRANCEPETH,2.706,2.728,2.734,2.74,2.75,2.775,2.803,2.87,2.962,3.005,3.097,3.172,3.196,3.267,3.328,3.408,3.485,3.592,3.714,3.875,4.01,4.192,4.39,4.505,4.719,4.905,5.141,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BREAMISH STREET,0.237,0.243,0.244,0.246,0.248,0.255,0.262,0.279,0.302,0.313,0.337,0.356,0.362,0.38,0.396,0.416,0.436,0.463,0.494,0.536,0.57,0.617,0.667,0.696,0.751,0.799,0.859,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
BRENDA TRADING,2.163,2.183,2.188,2.193,2.202,2.225,2.25,2.309,2.39,2.429,2.51,2.577,2.599,2.661,2.715,2.787,2.855,2.949,3.058,3.201,3.32,3.482,3.658,3.759,3.95,4.114,4.324,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
CAMPLESHON ROAD,1.785,1.8,1.804,1.808,1.814,1.831,1.85,1.894,1.955,1.983,2.044,2.094,2.11,2.157,2.197,2.25,2.301,2.372,2.453,2.559,2.648,2.769,2.9,2.976,3.118,3.241,3.397,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
CARLEY HILL,1.551,1.567,1.572,1.576,1.583,1.603,1.624,1.674,1.743,1.775,1.844,1.901,1.919,1.972,2.018,2.078,2.136,2.216,2.308,2.429,2.53,2.667,2.816,2.901,3.063,3.202,3.379,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
CARLIN HOW T3 T4,2.002,2.02,2.025,2.029,2.038,2.058,2.081,2.135,2.211,2.246,2.321,2.382,2.402,2.46,2.509,2.575,2.638,2.724,2.824,2.956,3.065,3.214,3.376,3.469,3.644,3.796,3.988,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
CARR HILL,1.847,1.867,1.872,1.877,1.886,1.909,1.934,1.993,2.076,2.114,2.196,2.264,2.286,2.349,2.403,2.475,2.544,2.639,2.748,2.893,3.013,3.176,3.353,3.456,3.648,3.814,4.025,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
CATTERICK CAMP,1.799,1.821,1.827,1.832,1.842,1.868,1.896,1.962,2.054,2.097,2.188,2.263,2.287,2.358,2.418,2.498,2.575,2.681,2.803,2.963,3.097,3.279,3.476,3.59,3.804,3.989,4.224,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
CLOSE,0.214,0.218,0.219,0.22,0.222,0.227,0.233,0.246,0.264,0.272,0.29,0.305,0.31,0.324,0.336,0.351,0.367,0.387,0.411,0.443,0.469,0.505,0.544,0.566,0.608,0.645,0.691,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
CONEYTHORPE,1.183,1.193,1.196,1.199,1.204,1.216,1.23,1.261,1.306,1.326,1.371,1.407,1.418,1.452,1.482,1.52,1.557,1.608,1.667,1.745,1.809,1.897,1.992,2.047,2.15,2.239,2.353,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
