Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.8,2.956,3.162,3.385,3.615,3.845,4.077,4.398,4.745,5.059,5.41,5.433,5.483,5.527,5.584,5.639,5.704,5.77,5.845,5.913,5.992,6.073,6.136,6.22,6.297,6.384,6.384,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
AMBERTON ROAD,2.541,2.696,2.876,3.07,3.27,3.47,3.672,3.952,4.254,4.526,4.832,4.852,4.896,4.934,4.984,5.031,5.088,5.146,5.211,5.27,5.339,5.41,5.464,5.538,5.605,5.68,5.68,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
ANNFIELD 66/20KV,2.828,3.009,3.218,3.444,3.677,3.91,4.145,4.47,4.822,5.139,5.495,5.518,5.568,5.613,5.671,5.726,5.792,5.859,5.935,6.004,6.085,6.166,6.23,6.315,6.393,6.481,6.481,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
ASHINGTON,3.797,4.072,4.388,4.732,5.085,5.438,5.794,6.287,6.82,7.301,7.841,7.876,7.953,8.021,8.108,8.192,8.293,8.394,8.51,8.614,8.736,8.86,8.956,9.085,9.204,9.337,9.337,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
AYCLIFFE INDUSTRIAL,1.301,1.377,1.465,1.561,1.659,1.757,1.856,1.993,2.142,2.275,2.425,2.435,2.457,2.476,2.5,2.523,2.551,2.579,2.611,2.64,2.674,2.709,2.735,2.772,2.804,2.842,2.842,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BARDEN FRIAR,0.086,0.093,0.101,0.11,0.12,0.129,0.138,0.152,0.166,0.178,0.193,0.194,0.196,0.197,0.2,0.202,0.205,0.207,0.21,0.213,0.216,0.22,0.222,0.226,0.229,0.232,0.232,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BEDALE,2.08,2.202,2.343,2.496,2.653,2.81,2.969,3.188,3.425,3.639,3.88,3.895,3.929,3.96,3.998,4.036,4.081,4.126,4.177,4.224,4.278,4.333,4.376,4.433,4.486,4.545,4.545,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BELMONT,2.063,2.194,2.343,2.506,2.674,2.841,3.01,3.244,3.497,3.725,3.981,3.997,4.034,4.066,4.107,4.147,4.195,4.243,4.297,4.347,4.405,4.464,4.509,4.57,4.627,4.69,4.69,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BENSHAM,0.812,0.911,1.025,1.148,1.275,1.403,1.531,1.708,1.9,2.073,2.268,2.28,2.308,2.332,2.364,2.394,2.43,2.467,2.508,2.546,2.59,2.634,2.669,2.716,2.758,2.806,2.806,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BENTON SQUARE,2.325,2.46,2.614,2.782,2.955,3.128,3.302,3.543,3.804,4.04,4.304,4.321,4.359,4.392,4.434,4.476,4.525,4.574,4.631,4.682,4.742,4.802,4.849,4.913,4.971,5.036,5.036,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BENWELL,1.648,1.776,1.924,2.085,2.25,2.416,2.582,2.813,3.063,3.288,3.541,3.557,3.593,3.625,3.666,3.705,3.752,3.8,3.854,3.903,3.96,4.018,4.062,4.123,4.179,4.241,4.241,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BILLINGHAM MARSH HOUSE,3.246,3.401,3.58,3.773,3.972,4.172,4.373,4.651,4.952,5.223,5.527,5.547,5.59,5.629,5.678,5.726,5.782,5.839,5.904,5.963,6.032,6.102,6.156,6.229,6.296,6.371,6.371,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BILLY MILL,2.171,2.291,2.428,2.577,2.73,2.884,3.038,3.252,3.484,3.693,3.928,3.943,3.976,4.006,4.043,4.08,4.124,4.168,4.218,4.263,4.316,4.37,4.412,4.468,4.519,4.577,4.577,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BIRTLEY GROVE 66/11KV,1.543,1.635,1.74,1.855,1.973,2.091,2.209,2.374,2.552,2.712,2.893,2.904,2.93,2.953,2.982,3.01,3.043,3.077,3.116,3.151,3.191,3.232,3.264,3.308,3.347,3.392,3.392,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BIRTLEY GROVE 66/20KV,0.667,0.72,0.781,0.847,0.915,0.983,1.052,1.147,1.25,1.343,1.447,1.454,1.468,1.482,1.498,1.515,1.534,1.554,1.576,1.596,1.619,1.643,1.662,1.687,1.71,1.735,1.735,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BLAYDON BURN,1.229,1.343,1.474,1.617,1.764,1.911,2.059,2.264,2.485,2.685,2.91,2.924,2.956,2.985,3.021,3.056,3.098,3.14,3.188,3.231,3.282,3.333,3.373,3.427,3.476,3.532,3.532,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BLUCHER 33/11KV,1.779,1.901,2.041,2.193,2.349,2.506,2.664,2.882,3.119,3.332,3.571,3.587,3.621,3.651,3.69,3.727,3.771,3.816,3.867,3.914,3.968,4.023,4.065,4.123,4.175,4.234,4.234,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BOLDON DOWNHILL,2.432,2.532,2.648,2.774,2.903,3.033,3.163,3.344,3.539,3.716,3.913,3.926,3.954,3.979,4.011,4.042,4.079,4.116,4.158,4.197,4.241,4.287,4.322,4.369,4.413,4.462,4.462,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.738,0.781,0.829,0.882,0.937,0.992,1.047,1.123,1.205,1.279,1.363,1.368,1.38,1.391,1.404,1.417,1.433,1.448,1.466,1.482,1.501,1.52,1.535,1.555,1.573,1.594,1.594,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BOWESFIELD 33/11KV,1.056,1.155,1.269,1.393,1.52,1.648,1.776,1.954,2.146,2.32,2.514,2.527,2.555,2.579,2.611,2.641,2.677,2.714,2.755,2.793,2.837,2.882,2.916,2.963,3.006,3.054,3.054,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BOWESFIELD 66/11KV,1.176,1.248,1.33,1.42,1.513,1.605,1.698,1.828,1.967,2.093,2.235,2.244,2.264,2.282,2.305,2.327,2.353,2.379,2.41,2.437,2.469,2.501,2.526,2.56,2.592,2.626,2.626,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BRANCEPETH,3.438,3.636,3.863,4.109,4.363,4.617,4.873,5.227,5.61,5.956,6.343,6.369,6.424,6.473,6.535,6.596,6.668,6.741,6.824,6.899,6.986,7.075,7.144,7.237,7.322,7.418,7.418,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
BREAMISH STREET,0.337,0.388,0.446,0.509,0.573,0.638,0.703,0.794,0.892,0.98,1.079,1.085,1.1,1.112,1.128,1.143,1.162,1.18,1.202,1.221,1.243,1.266,1.283,1.307,1.329,1.353,1.353,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total installed PV capacity - domestic (MW)
