Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.8,2.956,3.162,3.385,3.615,3.845,4.077,4.398,4.745,5.059,5.41,5.823,6.172,6.612,7.042,7.513,7.993,8.5,9.006,9.534,10.039,10.572,11.108,11.591,12.142,12.675,12.675,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
AMBERTON ROAD,2.541,2.696,2.876,3.07,3.27,3.47,3.672,3.952,4.254,4.526,4.832,5.192,5.495,5.879,6.253,6.663,7.081,7.522,7.962,8.422,8.861,9.326,9.792,10.212,10.692,11.156,11.156,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
ANNFIELD 66/20KV,2.828,3.009,3.218,3.444,3.677,3.91,4.145,4.47,4.822,5.139,5.495,5.913,6.266,6.712,7.147,7.625,8.111,8.624,9.136,9.672,10.182,10.723,11.265,11.755,12.313,12.852,12.852,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
ASHINGTON,3.797,4.072,4.388,4.732,5.085,5.438,5.794,6.287,6.82,7.301,7.841,8.476,9.011,9.687,10.348,11.072,11.808,12.587,13.364,14.176,14.95,15.77,16.592,17.335,18.18,18.999,18.999,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
AYCLIFFE INDUSTRIAL,1.301,1.377,1.465,1.561,1.659,1.757,1.856,1.993,2.142,2.275,2.425,2.602,2.751,2.939,3.123,3.324,3.529,3.745,3.961,4.187,4.403,4.631,4.859,5.066,5.301,5.529,5.529,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
BARDEN FRIAR,0.086,0.093,0.101,0.11,0.12,0.129,0.138,0.152,0.166,0.178,0.193,0.21,0.224,0.242,0.259,0.278,0.298,0.318,0.339,0.36,0.381,0.403,0.424,0.444,0.466,0.488,0.488,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
BEDALE,2.08,2.202,2.343,2.496,2.653,2.81,2.969,3.188,3.425,3.639,3.88,4.162,4.4,4.701,4.995,5.317,5.645,5.992,6.337,6.699,7.043,7.408,7.774,8.104,8.481,8.845,8.845,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
BELMONT,2.063,2.194,2.343,2.506,2.674,2.841,3.01,3.244,3.497,3.725,3.981,4.282,4.535,4.856,5.169,5.512,5.861,6.231,6.599,6.984,7.351,7.74,8.13,8.482,8.883,9.271,9.271,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
BENSHAM,0.812,0.911,1.025,1.148,1.275,1.403,1.531,1.708,1.9,2.073,2.268,2.496,2.689,2.932,3.17,3.431,3.696,3.976,4.256,4.548,4.827,5.122,5.418,5.685,5.99,6.284,6.284,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
