Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1137,1742,2600,3527,4549,5640,6944,8199,9418,10588,11700,12731,13714,14620,15446,16180,16834,17185,17478,17720,17921,18084,18197,18293,18372,18443,18443,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
AMBERTON ROAD,657,1098,1786,2628,3546,4524,5692,6816,7910,8961,9959,10891,11777,12593,13336,13997,14586,14902,15166,15384,15566,15713,15815,15898,15969,16033,16033,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
ANNFIELD 66/20KV,803,1313,2094,3027,4046,5134,6431,7681,8896,10063,11172,12206,13189,14095,14921,15654,16308,16659,16952,17194,17396,17559,17672,17765,17844,17915,17915,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
ASHINGTON,810,1414,2394,3638,4991,6432,8151,9808,11420,12969,14440,15816,17124,18327,19423,20397,21267,21733,22122,22445,22713,22930,23080,23202,23307,23399,23399,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
AYCLIFFE INDUSTRIAL,439,682,1034,1424,1853,2311,2859,3386,3898,4389,4856,5290,5703,6084,6431,6740,7015,7162,7285,7387,7472,7540,7588,7628,7661,7691,7691,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BARDEN FRIAR,19,33,56,85,117,152,192,232,270,307,341,374,405,434,460,483,503,514,524,531,538,543,546,549,552,554,554,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BEDALE,417,686,1099,1596,2139,2718,3409,4075,4722,5343,5934,6484,7008,7491,7930,8321,8669,8856,9012,9141,9248,9335,9395,9445,9487,9525,9525,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BELMONT,760,1178,1780,2445,3177,3958,4891,5790,6662,7500,8296,9035,9739,10389,10980,11506,11975,12226,12436,12610,12754,12871,12951,13020,13077,13127,13127,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BENSHAM,326,581,1001,1543,2132,2759,3506,4227,4928,5601,6241,6840,7409,7933,8409,8833,9211,9414,9583,9724,9841,9935,10000,10053,10099,10139,10139,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BENTON SQUARE,924,1424,2138,2918,3778,4695,5792,6848,7873,8857,9792,10660,11487,12249,12944,13561,14112,14408,14653,14858,15027,15164,15259,15339,15406,15466,15466,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BENWELL,597,984,1579,2296,3078,3913,4909,5868,6801,7697,8548,9341,10097,10792,11426,11989,12491,12761,12985,13172,13327,13452,13538,13610,13671,13725,13725,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BILLINGHAM MARSH HOUSE,886,1419,2216,3142,4157,5239,6532,7776,8986,10148,11251,12279,13257,14158,14979,15708,16359,16709,16999,17241,17441,17603,17716,17809,17888,17958,17958,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BILLY MILL,534,898,1470,2175,2943,3762,4738,5680,6595,7474,8309,9089,9831,10514,11136,11688,12181,12446,12667,12850,13002,13125,13210,13279,13339,13392,13392,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BIRTLEY GROVE 66/11KV,504,793,1217,1696,2223,2785,3456,4102,4730,5333,5905,6438,6945,7412,7838,8217,8554,8735,8886,9011,9115,9199,9257,9306,9347,9383,9383,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BIRTLEY GROVE 66/20KV,298,469,718,1000,1309,1639,2034,2414,2782,3137,3473,3786,4084,4359,4609,4831,5030,5136,5225,5298,5359,5409,5443,5472,5496,5517,5517,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BLAYDON BURN,764,1168,1739,2353,3031,3754,4620,5452,6260,7036,7773,8456,9108,9708,10256,10743,11177,11410,11603,11764,11897,12005,12080,12144,12196,12244,12244,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BLUCHER 33/11KV,677,1075,1663,2338,3079,3869,4812,5721,6603,7451,8257,9006,9720,10377,10976,11508,11983,12238,12450,12626,12772,12890,12972,13041,13098,13149,13149,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BOLDON DOWNHILL,506,817,1287,1840,2445,3090,3860,4602,5323,6016,6674,7286,7870,8407,8897,9332,9720,9928,10101,10245,10365,10462,10529,10584,10631,10673,10673,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,317,470,674,878,1104,1345,1634,1912,2182,2441,2687,2914,3130,3330,3513,3675,3819,3897,3961,4015,4059,4095,4120,4141,4159,4175,4175,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BOWESFIELD 33/11KV,573,916,1427,2019,2668,3360,4186,4982,5755,6498,7204,7861,8486,9062,9587,10053,10470,10693,10879,11033,11161,11265,11337,11396,11447,11492,11492,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BOWESFIELD 66/11KV,461,722,1103,1531,2002,2505,3105,3683,4244,4783,5295,5771,6225,6643,7023,7362,7664,7825,7960,8072,8165,8240,8292,8336,8372,8405,8405,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BRANCEPETH,913,1480,2339,3354,4464,5648,7061,8423,9746,11017,12224,13349,14419,15406,16304,17102,17815,18197,18515,18779,18999,19176,19299,19401,19487,19564,19564,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BREAMISH STREET,153,281,496,780,1087,1414,1804,2179,2545,2897,3231,3543,3840,4114,4363,4584,4781,4887,4976,5049,5110,5159,5193,5221,5245,5266,5266,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
BRENDA TRADING,748,1246,2023,2969,4001,5102,6415,7680,8910,10092,11214,12262,13258,14176,15012,15755,16417,16773,17069,17315,17519,17685,17799,17893,17973,18044,18044,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
CAMPLESHON ROAD,790,1256,1948,2744,3616,4547,5659,6729,7769,8768,9717,10600,11440,12215,12921,13548,14108,14408,14658,14865,15037,15177,15273,15354,15422,15482,15482,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
CARLEY HILL,861,1348,2057,2853,3727,4660,5775,6848,7891,8892,9843,10727,11569,12345,13052,13680,14241,14542,14792,15000,15172,15312,15408,15490,15558,15618,15618,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
CARLIN HOW T3 T4,641,1073,1751,2581,3486,4450,5601,6710,7789,8825,9809,10728,11602,12406,13139,13790,14371,14683,14943,15159,15338,15483,15583,15665,15735,15798,15798,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
CARR HILL,628,1097,1857,2823,3873,4992,6326,7612,8863,10065,11207,12274,13290,14224,15074,15831,16505,16867,17169,17419,17628,17796,17912,18007,18088,18160,18160,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
CATTERICK CAMP,547,943,1578,2376,3244,4169,5273,6337,7371,8365,9309,10192,11031,11803,12506,13132,13689,13989,14238,14445,14617,14756,14853,14931,14998,15058,15058,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
CLOSE,118,216,382,599,834,1085,1385,1673,1954,2223,2480,2720,2948,3157,3348,3518,3670,3751,3819,3875,3922,3960,3986,4007,4025,4041,4041,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
CONEYTHORPE,560,860,1284,1745,2252,2794,3441,4065,4670,5251,5803,6315,6803,7253,7663,8027,8352,8527,8672,8792,8892,8973,9029,9076,9116,9151,9151,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
CONSETT,1035,1645,2550,3590,4731,5948,7401,8800,10160,11466,12707,13861,14961,15973,16896,17716,18448,18840,19167,19438,19663,19846,19972,20077,20166,20245,20245,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
CORPORATION STREET,147,250,413,615,836,1071,1352,1622,1885,2137,2377,2602,2815,3011,3190,3348,3490,3566,3630,3682,3726,3761,3786,3806,3823,3838,3838,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
CRAMLINGTON T1 T3,288,465,731,1043,1384,1748,2183,2602,3009,3400,3771,4117,4447,4750,5026,5272,5491,5608,5706,5788,5855,5910,5947,5979,6005,6029,6029,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
CRAMLINGTON T2 T4,269,434,684,978,1300,1643,2053,2448,2832,3200,3550,3876,4186,4472,4733,4964,5171,5282,5374,5450,5514,5565,5601,5631,5656,5678,5678,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
DARLEY,300,442,629,813,1017,1235,1496,1747,1991,2224,2446,2651,2847,3027,3192,3338,3468,3538,3596,3645,3685,3717,3739,3759,3775,3789,3789,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
DARLINGTON 132/6KV,258,439,727,1086,1477,1894,2391,2870,3336,3783,4209,4606,4983,5331,5648,5929,6180,6315,6427,6521,6598,6661,6704,6739,6770,6797,6797,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
DARLINGTON 33/11KV,492,814,1312,1914,2572,3273,4110,4917,5701,6454,7169,7837,8472,9056,9589,10062,10484,10711,10900,11056,11187,11292,11365,11425,11476,11521,11521,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
DARLINGTON CENTRAL 33/11KV,159,285,492,760,1050,1359,1728,2084,2430,2762,3078,3374,3655,3913,4149,4358,4544,4645,4728,4797,4855,4902,4934,4960,4982,5002,5002,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
DARLINGTON EAST,557,855,1279,1738,2245,2787,3433,4056,4660,5241,5792,6304,6791,7241,7651,8015,8339,8514,8658,8779,8879,8959,9015,9063,9102,9138,9138,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
DARLINGTON WEST,1069,1635,2433,3292,4239,5251,6461,7624,8754,9839,10870,11825,12736,13576,14341,15022,15629,15954,16225,16450,16636,16787,16892,16981,17054,17120,17120,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
DENWICK,622,1079,1815,2745,3757,4835,6121,7360,8565,9723,10824,11852,12830,13730,14549,15278,15928,16277,16567,16808,17009,17171,17283,17374,17453,17522,17522,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
DUNSTON 66/11KV,453,697,1044,1423,1840,2286,2819,3331,3828,4306,4760,5182,5583,5953,6290,6590,6857,7001,7120,7219,7301,7368,7414,7453,7486,7514,7514,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
DUNSTON 66/20KV,907,1382,2048,2759,3543,4381,5382,6346,7281,8179,9033,9824,10577,11273,11906,12469,12972,13241,13465,13652,13806,13931,14017,14091,14152,14207,14207,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
DURHAM EAST,272,420,633,867,1124,1399,1727,2043,2350,2645,2925,3184,3432,3660,3868,4053,4218,4307,4380,4441,4492,4533,4561,4586,4606,4623,4623,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
EASTFIELD,473,841,1444,2220,3063,3960,5031,6063,7067,8032,8948,9806,10621,11371,12054,12661,13202,13493,13735,13936,14103,14239,14332,14408,14473,14531,14531,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
EASTGATE CEMENT,162,258,401,565,745,937,1167,1388,1603,1809,2005,2187,2361,2521,2667,2796,2912,2974,3025,3068,3104,3132,3152,3169,3183,3195,3195,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
EDUCATIONAL PRECINCT,239,415,697,1054,1443,1856,2350,2825,3288,3732,4155,4549,4925,5270,5585,5864,6114,6248,6359,6452,6529,6591,6634,6669,6699,6726,6726,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
ELVINGTON,210,320,475,640,823,1018,1252,1476,1694,1903,2102,2287,2462,2624,2772,2903,3020,3083,3135,3179,3215,3244,3264,3281,3295,3308,3308,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
FARADAY STREET,596,1001,1638,2422,3276,4186,5273,6319,7337,8315,9244,10111,10936,11695,12387,13001,13550,13844,14089,14293,14462,14599,14693,14771,14837,14896,14896,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
