Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1137,1303,1562,1958,2556,3432,3996,4638,5347,6114,6940,7827,8809,9833,10866,11892,12756,13576,14334,15020,15629,16164,16506,16627,16741,16850,16955,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
AMBERTON ROAD,657,821,1073,1448,1991,2762,3285,3866,4503,5188,5924,6712,7581,8487,9401,10308,11075,11802,12474,13082,13622,14096,14400,14511,14615,14713,14807,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
ANNFIELD 66/20KV,803,982,1259,1671,2273,3132,3710,4354,5062,5824,6642,7519,8487,9496,10514,11524,12378,13187,13935,14612,15214,15742,16080,16203,16318,16427,16532,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
ASHINGTON,810,1057,1439,1999,2802,3932,4709,5567,6507,7516,8597,9755,11030,12360,13701,15031,16157,17225,18211,19104,19897,20594,21041,21205,21359,21504,21643,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
AYCLIFFE INDUSTRIAL,439,510,621,789,1041,1408,1646,1916,2214,2536,2882,3254,3665,4094,4527,4956,5318,5661,5979,6266,6521,6745,6889,6940,6988,7034,7078,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BARDEN FRIAR,19,24,34,47,66,93,111,131,154,178,203,231,261,292,324,356,382,408,431,452,471,488,498,502,506,509,512,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BEDALE,417,513,661,881,1202,1659,1967,2310,2687,3093,3528,3995,4510,5047,5589,6126,6580,7011,7409,7770,8090,8371,8551,8616,8677,8736,8791,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BELMONT,760,881,1070,1356,1785,2410,2816,3276,3784,4333,4924,5557,6258,6990,7728,8460,9077,9663,10204,10694,11129,11512,11756,11843,11925,12003,12078,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BENSHAM,326,435,602,847,1197,1687,2026,2400,2808,3247,3717,4220,4774,5351,5933,6511,7000,7464,7892,8280,8624,8927,9121,9193,9260,9323,9383,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BENTON SQUARE,924,1065,1285,1619,2123,2858,3334,3874,4471,5116,5810,6555,7380,8240,9108,9969,10695,11384,12021,12597,13109,13559,13846,13948,14044,14136,14224,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BENWELL,597,735,949,1266,1729,2388,2832,3327,3870,4455,5083,5756,6498,7272,8052,8827,9482,10103,10677,11196,11657,12062,12322,12416,12505,12588,12669,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BILLINGHAM MARSH HOUSE,886,1061,1332,1737,2335,3195,3765,4405,5110,5869,6685,7560,8526,9534,10551,11559,12411,13219,13966,14641,15241,15769,16106,16228,16342,16450,16554,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
