Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1137,1742,2600,3527,4549,5640,6944,8199,9418,10588,11700,12731,13714,14620,15446,16180,16834,17375,17832,18219,18546,18816,19012,19179,19317,19436,19436,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
AMBERTON ROAD,657,1098,1786,2628,3546,4524,5692,6816,7910,8961,9959,10891,11777,12593,13336,13997,14586,15072,15483,15831,16126,16369,16546,16692,16816,16922,16922,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
ANNFIELD 66/20KV,803,1313,2094,3027,4046,5134,6431,7681,8896,10063,11172,12206,13189,14095,14921,15654,16308,16848,17305,17691,18018,18288,18484,18648,18785,18903,18903,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
ASHINGTON,810,1414,2394,3638,4991,6432,8151,9808,11420,12969,14440,15816,17124,18327,19423,20397,21267,21983,22590,23103,23537,23896,24157,24371,24553,24710,24710,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
AYCLIFFE INDUSTRIAL,439,682,1034,1424,1853,2311,2859,3386,3898,4389,4856,5290,5703,6084,6431,6740,7015,7242,7434,7597,7734,7848,7930,8000,8058,8108,8108,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BARDEN FRIAR,19,33,56,85,117,152,192,232,270,307,341,374,405,434,460,483,503,520,535,547,557,566,572,577,581,585,585,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BEDALE,417,686,1099,1596,2139,2718,3409,4075,4722,5343,5934,6484,7008,7491,7930,8321,8669,8956,9200,9406,9579,9723,9828,9915,9988,10051,10051,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BELMONT,760,1178,1780,2445,3177,3958,4891,5790,6662,7500,8296,9035,9739,10389,10980,11506,11975,12362,12689,12967,13201,13394,13535,13654,13753,13838,13838,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BENSHAM,326,581,1001,1543,2132,2759,3506,4227,4928,5601,6241,6840,7409,7933,8409,8833,9211,9523,9787,10010,10199,10355,10469,10562,10641,10709,10709,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BENTON SQUARE,924,1424,2138,2918,3778,4695,5792,6848,7873,8857,9792,10660,11487,12249,12944,13561,14112,14567,14951,15277,15552,15779,15945,16084,16200,16301,16301,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BENWELL,597,984,1579,2296,3078,3913,4909,5868,6801,7697,8548,9341,10097,10792,11426,11989,12491,12906,13256,13553,13804,14011,14162,14287,14393,14483,14483,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BILLINGHAM MARSH HOUSE,886,1419,2216,3142,4157,5239,6532,7776,8986,10148,11251,12279,13257,14158,14979,15708,16359,16896,17351,17735,18060,18329,18524,18688,18824,18942,18942,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BILLY MILL,534,898,1470,2175,2943,3762,4738,5680,6595,7474,8309,9089,9831,10514,11136,11688,12181,12588,12932,13224,13470,13673,13821,13944,14047,14136,14136,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BIRTLEY GROVE 66/11KV,504,793,1217,1696,2223,2785,3456,4102,4730,5333,5905,6438,6945,7412,7838,8216,8554,8833,9068,9268,9436,9576,9677,9762,9833,9895,9895,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BIRTLEY GROVE 66/20KV,298,469,718,1000,1309,1639,2034,2414,2782,3137,3473,3786,4084,4359,4609,4831,5030,5194,5332,5449,5548,5630,5690,5740,5782,5818,5818,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BLAYDON BURN,764,1168,1739,2353,3031,3754,4620,5452,6260,7036,7773,8456,9108,9708,10256,10743,11177,11535,11838,12095,12311,12490,12621,12731,12823,12902,12902,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BLUCHER 33/11KV,677,1075,1663,2338,3079,3869,4812,5721,6603,7451,8257,9006,9720,10377,10976,11508,11983,12375,12706,12987,13224,13420,13563,13682,13782,13868,13868,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BOLDON DOWNHILL,506,817,1287,1840,2445,3090,3860,4602,5323,6016,6674,7286,7870,8407,8897,9332,9720,10040,10311,10540,10734,10894,11010,11108,11189,11260,11260,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,317,470,674,878,1104,1345,1634,1912,2182,2441,2687,2914,3130,3330,3513,3675,3819,3939,4040,4125,4197,4257,4300,4338,4368,4395,4395,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BOWESFIELD 33/11KV,573,916,1427,2019,2668,3360,4186,4982,5755,6498,7204,7861,8486,9062,9587,10053,10470,10813,11103,11349,11557,11729,11854,11958,12046,12121,12121,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BOWESFIELD 66/11KV,461,722,1103,1531,2002,2505,3105,3683,4244,4783,5295,5771,6225,6643,7023,7362,7664,7913,8123,8302,8452,8577,8668,8744,8807,8862,8862,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BRANCEPETH,913,1480,2339,3354,4464,5648,7061,8423,9746,11017,12224,13349,14419,15406,16304,17102,17815,18402,18899,19320,19676,19970,20184,20362,20511,20640,20640,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BREAMISH STREET,153,281,496,780,1087,1414,1804,2179,2545,2897,3231,3543,3840,4114,4363,4584,4781,4944,5082,5198,5297,5378,5438,5486,5527,5563,5563,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BRENDA TRADING,748,1246,2023,2969,4001,5102,6415,7680,8910,10092,11214,12262,13258,14176,15012,15755,16417,16964,17426,17818,18149,18422,18621,18786,18925,19045,19045,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
CAMPLESHON ROAD,790,1256,1948,2744,3616,4547,5659,6729,7769,8768,9717,10600,11440,12215,12921,13548,14108,14569,14960,15291,15570,15801,15969,16109,16227,16329,16329,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
CARLEY HILL,861,1348,2057,2853,3727,4660,5775,6848,7891,8892,9843,10727,11569,12345,13052,13680,14241,14704,15095,15426,15706,15937,16106,16247,16365,16467,16467,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
CARLIN HOW T3 T4,641,1073,1751,2581,3486,4450,5601,6710,7789,8825,9809,10728,11602,12406,13139,13790,14371,14850,15256,15599,15889,16129,16303,16448,16570,16675,16675,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
CARR HILL,628,1097,1857,2823,3873,4992,6326,7612,8863,10065,11207,12274,13290,14224,15074,15830,16505,17061,17532,17931,18267,18545,18748,18915,19056,19178,19178,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
CATTERICK CAMP,547,943,1578,2376,3244,4169,5273,6337,7371,8365,9309,10192,11031,11803,12506,13131,13689,14149,14538,14868,15146,15376,15544,15682,15799,15899,15899,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
CLOSE,118,216,382,599,834,1085,1385,1673,1954,2223,2480,2720,2948,3157,3348,3518,3670,3795,3900,3990,4065,4128,4173,4210,4242,4269,4269,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
CONEYTHORPE,560,860,1284,1745,2252,2794,3441,4065,4670,5251,5803,6315,6803,7253,7663,8027,8352,8621,8848,9040,9202,9336,9434,9516,9585,9644,9644,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
CONSETT,1035,1645,2550,3590,4731,5948,7401,8800,10160,11466,12707,13861,14961,15973,16896,17716,18448,19051,19562,19994,20359,20661,20881,21065,21219,21352,21352,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
CORPORATION STREET,147,250,413,615,836,1071,1352,1622,1885,2137,2377,2602,2815,3011,3190,3348,3490,3607,3706,3790,3860,3919,3961,3997,4026,4052,4052,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
