Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1137,1742,2600,3527,4549,5640,6944,8199,9418,10588,11700,12731,13714,14620,15446,16179,16834,16996,17123,17221,17297,17353,17381,17406,17427,17449,17449,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
AMBERTON ROAD,657,1098,1786,2628,3546,4524,5692,6816,7910,8961,9959,10891,11777,12593,13336,13997,14586,14733,14848,14937,15006,15057,15084,15105,15124,15143,15143,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
ANNFIELD 66/20KV,803,1313,2094,3027,4046,5134,6431,7681,8896,10063,11172,12206,13189,14095,14921,15654,16308,16471,16598,16698,16774,16830,16860,16883,16904,16926,16926,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
ASHINGTON,810,1414,2394,3638,4991,6432,8151,9808,11420,12969,14440,15815,17124,18327,19423,20397,21266,21483,21653,21786,21889,21964,22003,22034,22062,22090,22090,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
AYCLIFFE INDUSTRIAL,439,682,1034,1424,1853,2311,2859,3386,3898,4389,4856,5290,5703,6084,6431,6740,7015,7083,7136,7178,7210,7233,7245,7255,7264,7274,7274,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BARDEN FRIAR,19,33,56,85,117,152,192,232,270,307,341,374,405,434,460,483,503,508,512,516,518,520,521,522,522,523,523,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BEDALE,417,686,1099,1596,2139,2718,3409,4075,4722,5343,5934,6484,7008,7491,7930,8321,8669,8756,8824,8877,8917,8947,8963,8975,8987,8998,8998,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BELMONT,760,1178,1780,2445,3177,3958,4891,5790,6662,7500,8296,9035,9739,10389,10980,11506,11975,12091,12182,12253,12307,12347,12368,12385,12400,12416,12416,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BENSHAM,326,581,1001,1543,2132,2759,3506,4227,4928,5601,6241,6840,7409,7933,8409,8833,9211,9306,9380,9438,9482,9515,9532,9545,9558,9570,9570,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BENTON SQUARE,924,1424,2138,2918,3778,4695,5792,6848,7873,8857,9792,10660,11487,12249,12944,13561,14112,14248,14355,14438,14502,14549,14573,14593,14611,14630,14630,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BENWELL,597,984,1579,2296,3078,3913,4909,5868,6801,7697,8548,9341,10097,10792,11426,11989,12491,12616,12714,12790,12849,12892,12915,12933,12949,12966,12966,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BILLINGHAM MARSH HOUSE,886,1419,2216,3142,4157,5239,6532,7776,8986,10148,11251,12279,13257,14158,14979,15708,16359,16521,16648,16746,16822,16878,16907,16930,16951,16973,16973,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
BILLY MILL,534,898,1470,2175,2943,3762,4738,5680,6595,7474,8309,9089,9831,10514,11136,11688,12181,12304,12401,12476,12533,12576,12598,12616,12632,12648,12648,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of electric cars and vans (hybrid and full electric)
