Primary,2023/24,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM	17.829	17.829	17.829	18.266	18.717	19.224	19.841	20.805	21.879	23.029	24.137	25.094	26.139	27.423	28.733	30.032	31.435	32.341	33.359	34.315	35.219	36.016	36.713	37.295	38.14	38.977	38.971	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
AMBERTON ROAD	24.852	26.802	26.802	27	27.197	27.459	27.864	28.376	28.916	29.489	30.086	30.764	31.416	32.097	32.756	33.387	34.025	34.427	34.79	35.081	35.34	35.555	35.736	35.831	36.04	36.231	36.299	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
ANNFIELD 66/20KV	20.689	20.689	20.689	21.101	21.492	21.905	22.422	23.28	24.494	25.728	27.033	28.41	29.733	31.262	32.834	34.425	36.116	37.135	38.009	38.832	39.562	40.186	40.716	41.145	41.829	42.501	42.51	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
ASHINGTON	18.021	18.021	18.021	18.676	19.32	19.98	20.76	21.949	23.367	24.824	26.274	27.687	29.108	30.76	32.452	34.14	35.92	36.977	37.952	38.876	39.717	40.439	41.053	41.539	42.307	43.062	43.077	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
AYCLIFFE FORREST	0.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
AYCLIFFE INDUSTRIAL	15.787	15.787	15.787	15.871	15.958	16.074	16.249	16.544	16.937	17.346	17.745	18.114	18.496	18.945	19.404	19.859	20.347	20.653	20.998	21.331	21.644	21.917	22.153	22.345	22.624	22.894	22.893	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BARDEN FRIAR	0.783	0.783	0.783	0.799	0.813	0.829	0.85	0.877	0.92	0.963	1.017	1.09	1.151	1.215	1.28	1.347	1.416	1.463	1.481	1.495	1.507	1.517	1.525	1.53	1.541	1.553	1.559	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BEDALE	17.406	18.806	18.806	19.253	19.677	20.119	20.641	21.375	22.209	23.043	24.014	25.198	26.252	27.403	28.602	29.803	31.027	31.783	32.164	32.467	32.677	32.846	32.983	33.07	33.286	33.516	33.621	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BELMONT	22.414	24.193	24.193	24.493	24.801	25.128	25.534	26.202	26.914	27.687	28.499	29.329	30.17	31.188	32.238	33.294	34.415	35.076	35.605	36.117	36.564	36.953	37.29	37.568	38.027	38.496	38.537	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BENSHAM	19.02	23.37	23.37	23.377	23.421	23.515	23.672	23.778	23.874	24.009	24.176	24.385	24.602	24.838	25.067	25.289	25.514	25.631	25.736	25.858	25.959	26.037	26.09	26.105	26.152	26.185	26.172	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BENTON SQUARE	17.345	19.187	19.187	19.688	20.199	20.768	21.445	22.449	23.348	24.284	25.189	25.982	26.839	27.885	29.027	30.133	31.296	32.066	32.833	33.547	34.209	34.797	35.317	35.756	36.391	37.032	37.136	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BENWELL	17.984	17.984	17.984	18.046	18.167	18.357	18.64	18.878	19.108	19.379	19.697	20.097	20.489	20.899	21.324	21.734	22.148	22.403	22.627	22.808	22.957	23.072	23.152	23.176	23.244	23.292	23.307	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BILLINGHAM MARSH HOUSE	17.088	17.598	17.598	18.111	18.63	19.229	19.972	20.932	22.241	23.558	24.852	26.078	27.306	28.656	30.027	31.376	32.769	33.684	34.69	35.621	36.468	37.21	37.853	38.377	39.1	39.792	39.873	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BILLY MILL	17.286	17.286	17.286	17.528	17.762	18.055	18.46	19.003	19.904	20.813	21.69	22.496	23.329	24.264	25.23	26.196	27.218	27.878	28.638	29.353	30.021	30.608	31.116	31.53	32.102	32.646	32.669	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BIRTLEY GROVE 66/11KV	12.947	16.447	16.447	16.697	16.974	17.312	17.745	18.346	19.157	19.99	20.824	21.617	22.395	23.253	24.112	24.946	25.799	26.354	26.926	27.455	27.933	28.343	28.695	28.979	29.379	29.763	29.769	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BIRTLEY GROVE 66/20KV	10.731	10.731	10.731	10.765	10.824	10.902	11.012	11.208	11.444	11.698	11.947	12.166	12.396	12.682	12.972	13.26	13.569	13.762	13.983	14.202	14.405	14.581	14.734	14.859	15.045	15.225	15.209	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BLAYDON BURN	14.046	14.046	14.046	14.26	14.502	14.784	15.132	15.708	16.424	17.188	17.948	18.619	19.321	20.178	21.057	21.927	22.857	23.466	24.123	24.773	25.381	25.915	26.384	26.79	27.358	27.918	27.922	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BLUCHER 33/11KV	12.881	13.138	13.138	13.583	14.093	14.657	15.316	16.2	17.183	18.219	19.216	20.073	20.981	22.044	23.133	24.19	25.292	26.025	26.828	27.578	28.278	28.891	29.424	29.866	30.488	31.098	31.106	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BOLDON DOWNHILL	8.841	9.341	9.341	9.524	9.708	9.924	10.204	10.605	11.278	11.968	12.649	13.283	13.933	14.683	15.461	16.247	17.088	17.63	18.264	18.862	19.421	19.911	20.336	20.688	21.177	21.645	21.647	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
