Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.829,17.829,17.829,18.372,18.967,19.589,20.240,21.245,22.360,23.542,24.536,25.156,25.913,26.601,27.152,27.649,28.104,28.566,28.995,29.374,29.712,29.981,30.212,30.348,30.499,30.621,30.630,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
AMBERTON ROAD,24.852,26.802,26.802,27.047,27.370,27.859,28.387,28.948,29.552,30.193,30.837,31.544,32.182,32.761,33.287,33.776,34.245,34.691,35.099,35.441,35.750,36.014,36.229,36.328,36.484,36.619,36.727,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
ANNFIELD 66/20KV,20.689,20.689,20.689,21.106,21.574,22.095,22.701,23.718,24.961,26.237,27.532,28.633,29.682,30.633,31.399,32.076,32.675,33.258,33.788,34.279,34.721,35.098,35.444,35.699,35.958,36.175,36.255,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
ASHINGTON,18.021,18.021,18.021,18.654,19.348,20.092,20.930,22.202,23.636,25.115,26.519,27.675,28.826,29.863,30.724,31.489,32.174,32.841,33.449,34.007,34.507,34.923,35.272,35.476,35.704,35.888,35.942,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
AYCLIFFE FORREST,0.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
AYCLIFFE INDUSTRIAL,15.787,15.787,15.787,15.941,16.121,16.328,16.572,16.962,17.417,17.896,18.335,18.674,19.061,19.428,19.742,20.028,20.287,20.545,20.789,21.018,21.229,21.415,21.566,21.657,21.757,21.847,21.908,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BARDEN FRIAR,0.783,0.783,0.783,0.800,0.819,0.841,0.868,0.905,0.951,0.997,1.055,1.122,1.175,1.222,1.263,1.299,1.332,1.365,1.394,1.421,1.445,1.468,1.489,1.508,1.526,1.543,1.554,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BEDALE,17.406,18.806,18.806,19.263,19.750,20.288,20.902,21.726,22.622,23.521,24.571,25.744,26.659,27.465,28.189,28.847,29.445,30.012,30.530,31.003,31.437,31.827,32.199,32.518,32.840,33.132,33.337,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BELMONT,22.414,24.193,24.193,24.566,24.979,25.430,25.908,26.627,27.414,28.257,29.089,29.816,30.480,31.070,31.563,32.014,32.431,32.843,33.224,33.605,33.955,34.257,34.547,34.784,35.026,35.242,35.365,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BENSHAM,19.020,23.370,23.370,23.484,23.603,23.760,23.934,24.046,24.206,24.402,24.625,24.879,25.130,25.365,25.565,25.748,25.921,26.073,26.208,26.369,26.514,26.639,26.742,26.805,26.879,26.943,26.989,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
