Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.829,17.829,17.829,18.263,18.711,19.213,19.831,20.802,21.873,23.023,24.130,25.185,26.346,27.765,29.189,30.610,32.075,33.045,34.219,35.283,36.223,37.069,37.790,38.384,38.920,39.408,39.415,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
AMBERTON ROAD,24.852,26.802,26.802,26.995,27.186,27.442,27.898,28.417,28.964,29.544,30.147,30.854,31.531,32.235,32.922,33.572,34.223,34.559,34.892,35.136,35.334,35.496,35.630,35.674,35.758,35.814,35.864,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
ANNFIELD 66/20KV,20.689,20.689,20.689,21.098,21.485,21.896,22.417,23.267,24.476,25.703,27.000,28.459,29.890,31.546,33.237,34.950,36.686,37.526,38.450,39.289,40.032,40.692,41.248,41.648,41.997,42.306,42.298,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
ASHINGTON,18.021,18.021,18.021,18.672,19.311,19.967,20.753,21.941,23.351,24.801,26.242,27.748,29.286,31.072,32.882,34.690,36.497,37.408,38.437,39.372,40.192,40.917,41.523,41.958,42.342,42.677,42.671,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
AYCLIFFE FORREST,0.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,1.600,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
AYCLIFFE INDUSTRIAL,15.787,15.787,15.787,15.871,15.960,16.076,16.252,16.550,16.944,17.355,17.757,18.159,18.581,19.079,19.583,20.086,20.601,20.925,21.311,21.671,21.989,22.272,22.509,22.696,22.852,22.980,22.984,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BARDEN FRIAR,0.783,0.783,0.783,0.800,0.814,0.829,0.851,0.877,0.920,0.963,1.017,1.092,1.157,1.226,1.296,1.368,1.442,1.465,1.479,1.492,1.504,1.517,1.528,1.532,1.536,1.542,1.548,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BEDALE,17.406,18.806,18.806,19.248,19.670,20.109,20.633,21.365,22.197,23.030,23.996,25.225,26.345,27.578,28.858,30.144,31.427,31.870,32.191,32.443,32.669,32.878,33.068,33.141,33.228,33.338,33.444,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BELMONT,22.414,24.193,24.193,24.488,24.790,25.113,25.524,26.196,26.905,27.676,28.484,29.383,30.308,31.422,32.559,33.706,34.869,35.405,35.984,36.520,36.996,37.432,37.814,38.098,38.369,38.637,38.681,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BENSHAM,19.020,23.370,23.370,23.374,23.417,23.508,23.666,23.779,23.875,24.013,24.179,24.398,24.628,24.879,25.122,25.357,25.595,25.684,25.771,25.870,25.947,26.002,26.031,26.022,26.007,25.975,25.959,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BENTON SQUARE,17.345,19.187,19.187,19.684,20.194,20.760,21.439,22.458,23.353,24.290,25.193,26.063,27.010,28.161,29.385,30.582,31.795,32.557,33.410,34.172,34.838,35.442,35.967,36.394,36.790,37.162,37.270,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BENWELL,17.984,17.984,17.984,18.041,18.157,18.343,18.628,18.874,19.105,19.377,19.693,20.105,20.512,20.941,21.383,21.810,22.246,22.455,22.647,22.792,22.903,22.983,23.031,23.023,23.011,22.977,22.991,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BILLINGHAM MARSH HOUSE,17.088,17.598,17.598,18.110,18.628,19.226,19.970,20.927,22.239,23.558,24.856,26.152,27.467,28.920,30.393,31.845,33.296,34.235,35.294,36.252,37.109,37.872,38.521,39.035,39.500,39.897,39.989,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BILLY MILL,17.286,17.286,17.286,17.526,17.759,18.050,18.458,18.996,19.899,20.808,21.688,22.547,23.445,24.453,25.493,26.533,27.583,28.265,29.075,29.819,30.490,31.086,31.593,31.993,32.356,32.664,32.686,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BIRTLEY GROVE 66/11KV,12.947,16.447,16.447,16.697,16.974,17.310,17.751,18.352,19.164,19.998,20.833,21.670,22.502,23.422,24.341,25.234,26.115,26.670,27.288,27.846,28.333,28.758,29.114,29.388,29.622,29.817,29.821,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BIRTLEY GROVE 66/20KV,10.731,10.731,10.731,10.765,10.824,10.901,11.013,11.209,11.445,11.699,11.949,12.188,12.445,12.760,13.078,13.393,13.714,13.926,14.183,14.427,14.639,14.827,14.982,15.108,15.215,15.309,15.292,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BLAYDON BURN,14.046,14.046,14.046,14.258,14.499,14.779,15.132,15.711,16.426,17.189,17.948,18.680,19.456,20.399,21.351,22.299,23.262,23.906,24.674,25.402,26.042,26.615,27.105,27.515,27.872,28.195,28.196,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BLUCHER 33/11KV,12.881,13.138,13.138,13.580,14.087,14.650,15.309,16.198,17.179,18.214,19.212,20.136,21.123,22.276,23.440,24.578,25.714,26.490,27.398,28.224,28.951,29.602,30.157,30.613,31.037,31.426,31.439,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BOLDON DOWNHILL,8.841,9.341,9.341,9.523,9.707,9.921,10.202,10.600,11.273,11.964,12.647,13.327,14.035,14.854,15.699,16.552,17.422,18.004,18.703,19.345,19.922,20.436,20.869,21.220,21.530,21.794,21.797,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,4.243,4.531,4.531,4.755,5.011,5.310,5.671,6.117,6.553,6.977,7.409,7.853,8.258,8.660,9.023,9.347,9.641,9.789,9.901,9.975,10.023,10.057,10.080,10.074,10.101,10.126,10.157,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BOWESFIELD 33/11KV,11.671,12.666,12.666,13.008,13.390,13.827,14.363,15.038,15.752,16.504,17.244,17.961,18.716,19.575,20.456,21.310,22.163,22.747,23.402,23.991,24.510,24.976,25.383,25.717,26.030,26.316,26.398,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BOWESFIELD 66/11KV,14.080,14.080,14.080,14.388,14.721,15.088,15.520,16.126,16.573,17.054,17.505,17.921,18.395,18.977,19.585,20.176,20.780,21.179,21.620,22.018,22.366,22.685,22.967,23.204,23.395,23.557,23.676,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BRANCEPETH,14.991,14.991,14.991,15.885,16.757,17.500,18.345,19.604,21.162,22.780,24.584,26.860,29.052,31.587,34.215,36.911,39.545,40.368,41.047,41.570,42.040,42.469,42.856,43.003,43.124,43.266,43.313,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BREAMISH STREET,9.771,11.154,11.154,11.173,11.226,11.330,11.487,11.564,11.647,11.787,11.928,12.061,12.257,12.496,12.766,13.034,13.312,13.471,13.646,13.802,13.942,14.067,14.172,14.250,14.328,14.399,14.430,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BRENDA TRADING,19.821,21.747,21.747,22.151,22.590,23.107,23.781,24.716,26.002,27.336,28.652,29.952,31.295,32.829,34.375,35.904,37.445,38.461,39.655,40.728,41.677,42.516,43.220,43.777,44.295,44.743,44.761,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
CAMPLESHON ROAD,17.452,17.452,17.452,17.790,18.122,18.500,18.990,19.673,20.556,21.480,22.528,23.822,25.048,26.436,27.859,29.298,30.774,31.344,31.882,32.329,32.724,33.077,33.376,33.543,33.705,33.862,33.885,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
CARLEY HILL,15.918,15.918,15.918,16.155,16.393,16.692,17.108,17.669,18.616,19.597,20.566,21.527,22.535,23.695,24.901,26.110,27.340,28.152,29.118,29.992,30.769,31.452,32.022,32.467,32.864,33.201,33.172,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
CARLIN HOW T3 T4,15.636,15.636,15.636,16.236,16.789,17.273,17.815,18.771,20.000,21.216,22.627,24.479,26.199,28.188,30.272,32.416,34.548,35.086,35.501,35.827,36.110,36.365,36.578,36.613,36.638,36.687,36.681,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
CARR HILL,17.032,17.032,17.032,17.356,17.701,18.106,18.636,19.293,20.467,21.688,22.866,23.987,25.191,26.569,27.972,29.385,30.809,31.742,32.884,33.958,34.935,35.806,36.547,37.145,37.687,38.153,38.130,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
CATTERICK CAMP,16.187,16.509,16.509,17.042,17.559,18.080,18.687,19.524,20.405,21.387,22.461,23.758,25.008,26.418,27.853,29.302,30.752,31.319,31.824,32.253,32.642,33.006,33.336,33.542,33.743,33.951,34.115,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
CLOSE,22.089,23.406,23.406,23.237,23.159,23.121,23.137,23.052,22.871,22.737,22.657,22.649,22.653,22.670,22.717,22.763,22.819,22.817,22.790,22.742,22.685,22.621,22.554,22.470,22.380,22.281,22.268,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
CONEYTHORPE,13.898,15.963,15.963,16.171,16.397,16.650,16.974,17.452,17.978,18.520,19.103,19.776,20.428,21.176,21.921,22.664,23.421,23.770,24.124,24.428,24.692,24.927,25.126,25.247,25.384,25.517,25.542,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
CONSETT,22.143,22.143,22.143,22.757,23.348,23.962,24.709,25.888,27.370,28.881,30.453,32.193,33.909,35.894,37.909,39.934,41.962,42.909,43.915,44.818,45.609,46.312,46.903,47.311,47.664,47.978,47.985,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
CORPORATION STREET,11.597,11.597,11.597,11.536,11.512,11.515,11.557,11.566,11.598,11.670,11.742,11.807,11.914,12.054,12.211,12.372,12.541,12.635,12.752,12.855,12.947,13.029,13.096,13.143,13.189,13.229,13.211,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
COWTON,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
CRAMLINGTON T1 T3,10.683,11.193,11.193,11.248,11.334,11.441,11.583,11.832,12.065,12.337,12.606,12.861,13.146,13.507,13.875,14.239,14.607,14.831,15.100,15.344,15.554,15.743,15.904,16.035,16.154,16.266,16.255,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
CRAMLINGTON T2 T4,10.795,10.795,10.795,10.849,10.946,11.069,11.232,11.487,11.722,11.990,12.256,12.510,12.780,13.107,13.432,13.746,14.054,14.240,14.451,14.641,14.799,14.939,15.055,15.144,15.224,15.297,15.280,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
DARLEY,3.417,3.417,3.417,3.575,3.737,3.897,4.180,4.460,4.815,5.187,5.583,6.054,6.484,6.912,7.333,7.737,8.130,8.379,8.614,8.796,8.967,9.129,9.303,9.424,9.540,9.649,9.747,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
DARLINGTON 132/6KV,2.596,2.596,2.596,2.795,3.006,3.232,3.502,3.840,4.253,4.692,5.119,5.535,5.975,6.479,6.982,7.480,7.978,8.283,8.639,8.961,9.250,9.508,9.731,9.905,10.067,10.211,10.213,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
DARLINGTON 33/11KV,14.041,14.928,14.928,15.078,15.253,15.475,15.792,16.190,16.791,17.440,18.090,18.754,19.454,20.261,21.076,21.891,22.722,23.232,23.829,24.359,24.826,25.233,25.570,25.820,26.040,26.220,26.187,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
